Id Sankce,ID kontroly,Vyse pokuty,Zakon
100001,241508100405901,1000,zak. 634/1992
100001,241508100405901,1000,zak. 64/1986
100003,241508100038701,2000,zak. 634/1992
100005,271508100043002,3000,zak. 634/1992
100005,271508100043002,3000,zak. 64/1986
100006,241501080028001,3000,zak. 634/1992
100007,311506170601801,2000,zak. 634/1992
100008,271507300043001,1000,zak. 634/1992
100009,311506120044001,1000,zak. 634/1992
100010,311506170600201,2000,zak. 634/1992
100011,311506190601801,2000,zak. 634/1992
100012,311506010604102,8000,zak. 255/2012
100013,311506100602001,10000,zak. 634/1992
100014,311506180605101,5000,zak. 634/1992
100015,311506040024701,4000,zak. 634/1992
100016,311506190024701,2000,zak. 634/1992
100018,311508040014601,1000,zak. 634/1992
100019,311505190604101,8000,zak. 634/1992
100020,311506240605101,4000,zak. 22/1997
100021,311506190014601,2000,zak. 634/1992
100022,311506110014601,6000,zak. 634/1992
100023,311506100602901,2000,zak. 64/1986
100024,311506220605101,4000,zak. 634/1992
100025,101508070014902,2000,zak. 634/1992
100027,401508110557301,2000,zak. 22/1997
100028,301505290044101,1000,zak. 634/1992
100029,301506030041401,1500,zak. 634/1992
100030,301507020700401,5000,zak. 634/1992
100031,301412160703801,40000,zak. 145/2010
100033,301508110703201,1000,zak. 634/1992
100035,311508110602001,1000,zak. 634/1992
100036,401412100558401,10000,zak. 145/2010
100037,401502180557801,3000,zak. 634/1992
100038,401407230556602,10000,zak. 255/2012
100040,401508110803701,1000,zak. 634/1992
100041,401401190557801,8000,zak. 255/2012
100042,401411190556401,5000,zak. 634/1992
100043,401502110557601,6000,zak. 634/1992
100044,401412040556403,2000,zak. 64/1986
100046,401501230042001,6000,zak. 634/1992
100047,401502270558102,1000,zak. 634/1992
100050,211508110150701,1000,zak. 634/1992
100052,271508110043901,1000,zak. 634/1992
100054,221508110040701,1000,zak. 634/1992
100055,271507070021001,1000,zak. 634/1992
100056,271507270024601,1000,zak. 634/1992
100057,241501190038701,7000,zak. 634/1992
100058,241503130038701,10000,zak. 634/1992
100059,241504200403801,250000,zak. 634/1992
100061,301508110702102,1000,zak. 634/1992
100062,211508060030401,5000,zak. 634/1992
100064,241508110045701,1000,zak. 634/1992
100065,311505280604701,2000,zak. 634/1992
100066,311505220602901,3000,zak. 634/1992
100067,311506230604101,6000,zak. 255/2012
100069,101508110044203,3000,zak. 634/1992
100070,311505200604101,2000,zak. 634/1992
100071,311505220602001,2000,zak. 64/1986
100072,311505120550601,4000,zak. 634/1992
100073,311506200600201,1000,zak. 634/1992
100074,311504220600201,220000,zak. 634/1992
100076,311506180024701,1500,zak. 634/1992
100077,311505130604501,2000,zak. 634/1992
100078,311505060604501,6000,zak. 634/1992
100079,311506110600201,2000,zak. 634/1992
100083,211508070153401,1000,zak. 634/1992
100085,211508110153401,1000,zak. 634/1992
100086,401502090013001,3000,zak. 634/1992
100087,401411270556402,2000,zak. 64/1986
100088,401411270556402,5000,zak. 634/1992
100090,401505120013001,3000,zak. 64/1986
100091,401505120013001,3000,zak. 634/1992
100092,401503170557301,3000,zak. 634/1992
100093,401412190011002,7000,zak. 634/1992
100095,221508110016901,3000,zak. 634/1992
100096,401501300013002,4000,zak. 22/1997
100097,401501300013002,3000,zak. 64/1986
100098,401412190557901,3000,zak. 102/2001
100099,401502190803703,2000,zak. 634/1992
100100,401501080013003,3000,zak. 102/2001
